ID_MUNICIP,year,Population,dengue,zika,chikungunya,microcephaly,live_births
260890,2013,55607.9385794117,50,0,0,0,795
260890,2014,55270.3020367435,36,0,0,0,810
260890,2015,54944.61667522802,2727,0,5,4,830
260890,2016,54567.60617327445,212,2,82,0,741
260890,2017,54185.02302155042,7,0,0,0,781
260900,2013,24639.441472307568,10,0,0,1,393
260900,2014,24699.2710611738,5,0,0,0,387
260900,2015,24767.399923492252,552,0,2,1,407
260900,2016,24814.916147696313,21,0,253,2,364
260900,2017,24857.004231268642,0,0,0,0,382
260910,2013,15034.471143045495,1,0,0,0,173
260910,2014,15419.224966192569,4,0,0,0,189
260910,2015,15819.072979582841,21,0,1,0,204
260910,2016,16215.852548562749,0,0,6,0,177
260910,2017,16616.99540946751,16,0,1,0,212
260915,2013,20071.435579488818,0,0,0,0,275
260915,2014,20600.27329850437,0,0,0,0,238
260915,2015,21156.635099871863,162,0,29,0,278
260915,2016,21705.27752546491,1,0,0,0,253
260915,2017,22263.001855536037,0,0,0,1,248
260920,2013,12123.64903043456,0,0,0,0,220
260920,2014,11997.171282465646,0,0,0,0,231
260920,2015,11880.451539705908,0,0,0,0,209
260920,2016,11736.060928624942,0,0,0,0,175
260920,2017,11593.542734087461,0,0,0,0,240
260930,2013,14887.873838251708,2,0,0,0,290
260930,2014,14967.947220951104,103,0,0,0,238
260930,2015,15055.262655678149,13,0,0,1,261
260930,2016,15125.054615631088,63,0,36,0,252
260930,2017,15191.841072611629,0,0,0,0,246
260940,2013,59605.94631782534,202,0,0,0,815
260940,2014,60135.64392955147,35,0,0,0,833
260940,2015,60674.4485726478,780,0,0,4,818
260940,2016,61178.08059743553,893,0,1,4,733
260940,2017,61663.84758978669,1,0,0,1,758
260950,2013,31643.328866469034,2,0,0,0,456
260950,2014,31691.09755757441,0,0,0,0,482
260950,2015,31742.80490538936,43,0,0,0,469
260950,2016,31765.243040880025,6,0,1,3,433
260950,2017,31778.075044062665,0,0,0,1,434
260960,2013,383392.0308507825,339,0,0,1,6019
260960,2014,382399.67071429885,141,0,0,0,6048
260960,2015,381420.1165613634,2313,0,313,26,6157
260960,2016,380199.611905896,516,0,693,5,5612
260960,2017,378859.90669035236,292,0,44,0,5671
260970,2013,23263.68664244491,13,0,0,0,289
260970,2014,23221.015551736906,0,0,0,0,300
260970,2015,23185.930519797115,0,0,0,1,256
260970,2016,23135.683192846747,124,0,10,0,253
260970,2017,23081.712114321308,11,0,0,0,263
260980,2013,14159.48733300866,0,0,0,0,276
260980,2014,14377.911674841042,1,0,0,0,304
260980,2015,14605.427806862612,3,0,0,0,290
260980,2016,14815.26093366742,2,0,1,1,279
260980,2017,15022.736418789536,1,0,1,0,282
260990,2013,67713.52459108105,1,0,0,0,1127
260990,2014,68275.7626030895,2,0,0,0,1227
260990,2015,68856.70225749456,21,0,0,12,1186
260990,2016,69407.19191346172,15,0,49,6,1059
260990,2017,69933.3065407277,2,0,0,2,1086
261000,2013,61455.18949323844,5,0,0,0,1165
261000,2014,61609.01056627986,1,0,0,0,1757
261000,2015,61770.60381489114,12,0,0,2,1842
261000,2016,61898.407629181645,18,1,34,0,1339
261000,2017,62003.74736048753,9,0,8,1,1130
261010,2013,8077.018295458291,0,0,0,0,123
